VerticalDisplacement, HorizontalForceInternal, HorizontalForceExternal, VerticalForceInternal, VerticalForceExternal
-0.3679,   0.0000,  -0.0000, -279.9379,  -0.0000
-0.3729,   0.0000,  -0.0000, -279.3254,  -0.0000
-0.3779,   0.0000,  -0.0000, -278.5845,  -0.0000
-0.3829,   0.0000,  -0.0000, -277.7153,  -0.0000
-0.3879,   0.0000,  -0.0000, -276.7180,  -0.0000
-0.3929,   0.0000,  -0.0000, -275.5930,  -0.0000
-0.3979,   0.0000,  -0.0000, -274.3406,  -0.0000
-0.4029,   0.0000,  -0.0000, -272.9611,  -0.0000
-0.4079,   0.0000,  -0.0000, -271.4549,  -0.0000
-0.4129,   0.0000,  -0.0000, -269.8227,  -0.0000
-0.4179,   0.0000,  -0.0000, -268.0648,  -0.0000
-0.4229,   0.0000,  -0.0000, -266.1819,  -0.0000
-0.4279,   0.0000,  -0.0000, -264.1746,  -0.0000
-0.4329,   0.0000,  -0.0000, -262.0436,  -0.0000
-0.4379,   0.0000,  -0.0000, -259.7897,  -0.0000
-0.4429,   0.0000,  -0.0000, -257.4137,  -0.0000
-0.4479,   0.0000,  -0.0000, -254.9164,  -0.0000
-0.4529,   0.0000,  -0.0000, -252.2987,  -0.0000
-0.4579,   0.0000,  -0.0000, -249.5616,  -0.0000
-0.4629,   0.0000,  -0.0000, -246.7062,  -0.0000
-0.4679,   0.0000,  -0.0000, -243.7336,  -0.0000
-0.4729,   0.0000,  -0.0000, -240.6448,  -0.0000
-0.4779,   0.0000,  -0.0000, -237.4411,  -0.0000
-0.4829,   0.0000,  -0.0000, -234.1239,  -0.0000
-0.4879,   0.0000,  -0.0000, -230.6943,  -0.0000
-0.4929,   0.0000,  -0.0000, -227.1538,  -0.0000
-0.4979,   0.0000,  -0.0000, -223.5039,  -0.0000
-0.5029,   0.0000,  -0.0000, -219.7460,  -0.0000
-0.5079,   0.0000,  -0.0000, -215.8818,  -0.0000
-0.5129,   0.0000,  -0.0000, -211.9128,  -0.0000
-0.5179,   0.0000,  -0.0000, -207.8408,  -0.0000
-0.5229,   0.0000,  -0.0000, -203.6675,  -0.0000
-0.5279,   0.0000,  -0.0000, -199.3947,  -0.0000
-0.5329,   0.0000,  -0.0000, -195.0243,  -0.0000
-0.5379,   0.0000,  -0.0000, -190.5583,  -0.0000
-0.5429,   0.0000,  -0.0000, -185.9985,  -0.0000
