VerticalDisplacement, HorizontalForceInternal, HorizontalForceExternal, VerticalForceInternal, VerticalForceExternal
-1.3629,   0.0000,  -0.0000,  72.6360,   9.8000
-1.3679,   0.0000,  -0.0000,  65.9537,   9.8000
-1.3729,   0.0000,  -0.0000,  59.1838,   9.8000
-1.3779,   0.0000,  -0.0000,  52.3273,   9.8000
-1.3829,   0.0000,  -0.0000,  45.3849,   9.8000
-1.3879,   0.0000,  -0.0000,  38.3577,   9.8000
-1.3929,   0.0000,  -0.0000,  31.2464,   9.8000
-1.3979,   0.0000,  -0.0000,  24.0518,   9.8000
-1.4029,   0.0000,  -0.0000,  16.7750,   9.8000
-1.4079,   0.0000,  -0.0000,   9.4167,   9.8000
-1.4129,   0.0000,  -0.0000,   1.9777,   9.8000
-1.4179,   0.0000,  -0.0000,  -5.5410,   9.8000
-1.4229,   0.0000,  -0.0000, -13.1386,   9.8000
-1.4279,   0.0000,  -0.0000, -20.8143,   9.8000
-1.4329,   0.0000,  -0.0000, -28.5673,   9.8000
-1.4379,   0.0000,  -0.0000, -36.3968,   9.8000
-1.4429,   0.0000,  -0.0000, -44.3018,   9.8000
-1.4479,   0.0000,  -0.0000, -52.2816,   9.8000
-1.4529,   0.0000,  -0.0000, -60.3355,   9.8000
-1.4579,   0.0000,  -0.0000, -68.4625,   9.8000
-1.4629,   0.0000,  -0.0000, -76.6619,   9.8000
-1.4679,   0.0000,  -0.0000, -84.9328,   9.8000
-1.4729,   0.0000,  -0.0000, -93.2746,   9.8000
-1.4779,   0.0000,  -0.0000, -101.6864,   9.8000
-1.4829,   0.0000,  -0.0000, -110.1675,   9.8000
-1.4879,   0.0000,  -0.0000, -118.7171,   9.8000
-1.4929,   0.0000,  -0.0000, -127.3343,   9.8000
-1.4979,   0.0000,  -0.0000, -136.0186,   9.8000
-1.5029,   0.0000,  -0.0000, -144.7691,   9.8000
-1.5079,   0.0000,  -0.0000, -153.5850,   9.8000
